Year,Group,Region,Gender,Value
2015,,,,37.0
2016,,,,37.0
2017,,,,40.6
2018,,,,40.8
2019,,,,42.6
2020,,,,41.1
2021,,,,40.6
2022,,,,29.8
2023,,,,28.4
2015,,Vinnytsya,,18.9
2016,,Vinnytsya,,14.5
2017,,Vinnytsya,,16.4
2018,,Vinnytsya,,18.0
2019,,Vinnytsya,,19.3
2020,,Vinnytsya,,14.0
2021,,Vinnytsya,,11.2
2022,,Vinnytsya,,14.3
2023,,Vinnytsya,,16.1
2015,,Volyn,,26.6
2016,,Volyn,,20.5
2017,,Volyn,,22.5
2018,,Volyn,,21.6
2019,,Volyn,,15.1
2020,,Volyn,,13.5
2021,,Volyn,,11.3
2022,,Volyn,,9.7
2023,,Volyn,,16.5
2015,,Dnipropetrovsk,,88.2
2016,,Dnipropetrovsk,,83.2
2017,,Dnipropetrovsk,,98.3
2018,,Dnipropetrovsk,,94.9
2019,,Dnipropetrovsk,,113.2
2020,,Dnipropetrovsk,,113.3
2021,,Dnipropetrovsk,,107.5
2022,,Dnipropetrovsk,,88.4
2023,,Dnipropetrovsk,,88.6
2015,,Donetsk,,23.9
2016,,Donetsk,,58.8
2017,,Donetsk,,63.7
2018,,Donetsk,,73.0
2019,,Donetsk,,78.9
2020,,Donetsk,,64.8
2021,,Donetsk,,56.2
2022,,Donetsk,,7.9
2023,,Donetsk,,7.8
2015,,Zhytomyr,,36.9
2016,,Zhytomyr,,29.1
2017,,Zhytomyr,,30.4
2018,,Zhytomyr,,32.7
2019,,Zhytomyr,,31.5
2020,,Zhytomyr,,22.6
2021,,Zhytomyr,,20.4
2022,,Zhytomyr,,21.4
2023,,Zhytomyr,,29.3
2015,,Zakarpattya,,5.6
2016,,Zakarpattya,,6.7
2017,,Zakarpattya,,8.1
2018,,Zakarpattya,,9.4
2019,,Zakarpattya,,7.4
2020,,Zakarpattya,,6.8
2021,,Zakarpattya,,6.5
2022,,Zakarpattya,,6.0
2023,,Zakarpattya,,8.9
2015,,Zaporizhzhya,,32.6
2016,,Zaporizhzhya,,35.3
2017,,Zaporizhzhya,,32.8
2018,,Zaporizhzhya,,35.2
2019,,Zaporizhzhya,,31.9
2020,,Zaporizhzhya,,26.8
2021,,Zaporizhzhya,,25.6
2022,,Zaporizhzhya,,20.4
2023,,Zaporizhzhya,,19.4
2015,,Ivano-Frankivsk,,13.0
2016,,Ivano-Frankivsk,,10.4
2017,,Ivano-Frankivsk,,10.7
2018,,Ivano-Frankivsk,,10.7
2019,,Ivano-Frankivsk,,9.5
2020,,Ivano-Frankivsk,,4.8
2021,,Ivano-Frankivsk,,6.6
2022,,Ivano-Frankivsk,,8.5
2023,,Ivano-Frankivsk,,9.7
2015,,Kyiv,,56.2
2016,,Kyiv,,52.7
2017,,Kyiv,,49.4
2018,,Kyiv,,47.2
2019,,Kyiv,,44.3
2020,,Kyiv,,44.4
2021,,Kyiv,,47.4
2022,,Kyiv,,41.1
2023,,Kyiv,,42.0
2015,,Kirovohrad,,53.1
2016,,Kirovohrad,,35.7
2017,,Kirovohrad,,51.1
2018,,Kirovohrad,,43.1
2019,,Kirovohrad,,61.5
2020,,Kirovohrad,,43.6
2021,,Kirovohrad,,37.3
2022,,Kirovohrad,,35.1
2023,,Kirovohrad,,37.2
2015,,Luhansk,,8.3
2016,,Luhansk,,29.3
2017,,Luhansk,,29.1
2018,,Luhansk,,26.1
2019,,Luhansk,,26.9
2020,,Luhansk,,18.2
2021,,Luhansk,,20.4
2022,,Luhansk,,0.5
2023,,Luhansk,,0.0
2015,,Lviv,,17.9
2016,,Lviv,,16.5
2017,,Lviv,,15.6
2018,,Lviv,,18.0
2019,,Lviv,,16.3
2020,,Lviv,,10.4
2021,,Lviv,,13.2
2022,,Lviv,,14.6
2023,,Lviv,,21.2
2015,,Mykolayiv,,74.3
2016,,Mykolayiv,,76.7
2017,,Mykolayiv,,67.4
2018,,Mykolayiv,,63.8
2019,,Mykolayiv,,59.4
2020,,Mykolayiv,,50.8
2021,,Mykolayiv,,45.0
2022,,Mykolayiv,,33.7
2023,,Mykolayiv,,42.1
2015,,Odesa,,99.5
2016,,Odesa,,74.4
2017,,Odesa,,98.3
2018,,Odesa,,94.5
2019,,Odesa,,97.9
2020,,Odesa,,150.9
2021,,Odesa,,178.3
2022,,Odesa,,153.9
2023,,Odesa,,78.3
2015,,Poltava,,31.1
2016,,Poltava,,23.6
2017,,Poltava,,21.9
2018,,Poltava,,24.8
2019,,Poltava,,26.1
2020,,Poltava,,17.3
2021,,Poltava,,16.4
2022,,Poltava,,19.0
2023,,Poltava,,20.4
2015,,Rivne,,21.4
2016,,Rivne,,17.1
2017,,Rivne,,14.3
2018,,Rivne,,18.4
2019,,Rivne,,13.6
2020,,Rivne,,11.3
2021,,Rivne,,13.0
2022,,Rivne,,12.7
2023,,Rivne,,16.1
2015,,Sumy,,20.0
2016,,Sumy,,15.0
2017,,Sumy,,16.8
2018,,Sumy,,18.5
2019,,Sumy,,15.4
2020,,Sumy,,11.8
2021,,Sumy,,11.7
2022,,Sumy,,13.8
2023,,Sumy,,17.6
2015,,Ternopil,,10.9
2016,,Ternopil,,10.9
2017,,Ternopil,,7.6
2018,,Ternopil,,6.6
2019,,Ternopil,,8.3
2020,,Ternopil,,7.5
2021,,Ternopil,,6.1
2022,,Ternopil,,7.7
2023,,Ternopil,,8.5
2015,,Kharkiv,,19.3
2016,,Kharkiv,,19.5
2017,,Kharkiv,,21.5
2018,,Kharkiv,,21.1
2019,,Kharkiv,,22.3
2020,,Kharkiv,,24.5
2021,,Kharkiv,,21.9
2022,,Kharkiv,,12.5
2023,,Kharkiv,,22.8
2015,,Kherson,,48.9
2016,,Kherson,,45.6
2017,,Kherson,,52.1
2018,,Kherson,,40.5
2019,,Kherson,,55.3
2020,,Kherson,,46.3
2021,,Kherson,,40.2
2022,,Kherson,,15.1
2023,,Kherson,,7.8
2015,,Khmelnytskiy,,14.9
2016,,Khmelnytskiy,,12.5
2017,,Khmelnytskiy,,14.8
2018,,Khmelnytskiy,,17.9
2019,,Khmelnytskiy,,16.7
2020,,Khmelnytskiy,,12.3
2021,,Khmelnytskiy,,10.9
2022,,Khmelnytskiy,,11.1
2023,,Khmelnytskiy,,15.6
2015,,Cherkasy,,43.4
2016,,Cherkasy,,39.6
2017,,Cherkasy,,34.1
2018,,Cherkasy,,36.5
2019,,Cherkasy,,39.5
2020,,Cherkasy,,25.9
2021,,Cherkasy,,20.2
2022,,Cherkasy,,22.1
2023,,Cherkasy,,23.8
2015,,Chernivtsi,,10.8
2016,,Chernivtsi,,8.1
2017,,Chernivtsi,,8.2
2018,,Chernivtsi,,9.0
2019,,Chernivtsi,,9.2
2020,,Chernivtsi,,5.8
2021,,Chernivtsi,,6.8
2022,,Chernivtsi,,7.3
2023,,Chernivtsi,,10.4
2015,,Chernihiv,,47.4
2016,,Chernihiv,,37.0
2017,,Chernihiv,,44.5
2018,,Chernihiv,,42.2
2019,,Chernihiv,,44.2
2020,,Chernihiv,,40.2
2021,,Chernihiv,,35.2
2022,,Chernihiv,,28.4
2023,,Chernihiv,,38.6
2015,,the city of Kyiv,,45.2
2016,,the city of Kyiv,,47.9
2017,,the city of Kyiv,,53.2
2018,,the city of Kyiv,,56.7
2019,,the city of Kyiv,,51.4
2020,,the city of Kyiv,,42.9
2021,,the city of Kyiv,,37.8
2022,,the city of Kyiv,,29.5
2023,,the city of Kyiv,,36.8
2015,,,female,23.8
2016,,,female,25.8
2017,,,female,30.7
2018,,,female,29.9
2019,,,female,33.4
2020,,,female,28.2
2021,,,female,27.3
2022,,,female,18.7
2023,,,female,18.6
2015,,,male,38.0
2016,,,male,42.8
2017,,,male,52.3
2018,,,male,53.7
2019,,,male,60.2
2020,,,male,56.2
2021,,,male,55.9
2022,,,male,42.6
2023,,,male,39.8
