Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-1-1,complete,,,,,,line
#1-1-2,complete,,,,,,line
#1-2-1,complete,,,,,,line
#1-3-1,complete,,,,,,line
#1-3-2,complete,,,,,,line
#10-1-1,complete,,,,,,line
#10-1-2,complete,,,,,,line
#10-2-1,complete,,,,,,line
#10-3-1,complete,,,,,,line
#10-3-2,complete,,,,,,line
#10-3-3,complete,,,,,,line
#10-4-1,complete,,,,,,line
#10-5-1,complete,,,,,,line
#11-1-1,complete,,,,,,line
#11-1-2,complete,,,,,,line
#11-2-1,complete,,,,,,line
#11-3-1,complete,,,,,,line
#11-3-2,complete,,,,,,line
#11-3-3,complete,,,,,,line
#11-4-1,complete,,,,,,line
#11-5-1,complete,,,,,,line
#11-5-2,complete,,,,,,line
#11-6-1,complete,,,,,,line
#12-1-1,complete,,,,,,line
#12-2-1,complete,,,,,,line
#12-2-2,complete,,,,,,line
#12-3-1,complete,,,,,,line
#12-4-1,complete,,,,,,line
#12-4-2,complete,,,,,,line
#13-1-1,complete,,,,,,line
#14-1-1,complete,,,,,,line
#14-2-1,complete,,,,,,line
#14-2-2,complete,,,,,,line
#14-3-1,complete,,,,,,line
#15-1-1,complete,,,,,,line
#15-1-2,complete,,,,,,line
#15-1-3,complete,,,,,,line
#15-2-1,complete,,,,,,line
#15-2-2,complete,,,,,,line
#15-3-1,complete,,,,,,line
#15-3-2,complete,,,,,,line
#15-3-3,complete,,,,,,line
#15-3-4,complete,,,,,,line
#15-3-5,complete,,,,,,line
#15-3-6,complete,,,,,,line
#15-4-1,complete,,,,,,line
#15-4-2,complete,,,,,,line
#16-1-1,complete,,,,,,line
#16-1-2,complete,,,,,,line
#16-1-3,complete,,,,,,line
#16-2-1,complete,,,,,,line
#16-2-2,complete,,,,,,line
#16-2-3,complete,,,,,,line
#16-2-4,complete,,,,,,line
#16-2-5,complete,,,,,,line
#16-2-6,complete,,,,,,line
#16-2-7,complete,,,,,,line
#16-3-1,complete,,,,,,line
#16-3-2,complete,,,,,,line
#16-4-1,complete,,,,,,line
#16-5-1,complete,,,,,,line
#16-5-2,complete,,,,,,line
#16-5-3,complete,,,,,,line
#16-6-1,complete,,,,,,line
#16-7-1,complete,,,,,,line
#16-8-1,complete,,,,,,line
#16-8-2,complete,,,,,,line
#16-8-3,complete,,,,,,line
#16-8-4,complete,,,,,,line
#16-8-5,complete,,,,,,line
#16-9-1,complete,,,,,,line
#17-1-1,complete,,,,,,line
#17-1-2,complete,,,,,,line
#17-2-1,complete,,,,,,line
#17-3-1,complete,,,,,,line
#2-1-1,complete,,,,,,line
#2-1-2,complete,,,,,,line
#2-1-3,complete,,,,,,line
#2-1-4,complete,,,,,,line
#2-1-5,complete,,,,,,line
#2-2-1,complete,,,,,,line
#2-2-2,complete,,,,,,line
#2-3-1,complete,,,,,,line
#2-3-2,complete,,,,,,line
#2-3-3,complete,,,,,,line
#2-4-1,complete,,,,,,line
#3-1-1,complete,,,,,,line
#3-2-1,complete,,,,,,line
#3-3-1,complete,,,,,,line
#3-3-2,complete,,,,,,line
#3-4-1,complete,,,,,,line
#3-4-2,complete,,,,,,line
#3-4-3,complete,,,,,,line
#3-4-4,complete,,,,,,line
#3-5-1,complete,,,,,,line
#3-5-2,complete,,,,,,line
#3-6-1,complete,,,,,,line
#3-6-2,complete,,,,,,line
#3-7-1,complete,,,,,,line
#3-8-1,complete,,,,,,line
#3-8-2,complete,,,,,,line
#3-9-1,complete,,,,,,line
#4-1-1,complete,,,,,,line
#4-1-2,complete,,,,,,line
#4-2-1,complete,,,,,,line
#4-3-1,complete,,,,,,line
#4-4-1,complete,,,,,,line
#4-4-2,complete,,,,,,line
#4-4-3,complete,,,,,,line
#4-4-4,complete,,,,,,line
#4-5-1,complete,,,,,,line
#4-5-2,complete,,,,,,line
#4-6-1,complete,,,,,,line
#4-7-1,complete,,,,,,line
#4-7-2,complete,,,,,,line
#4-7-3,complete,,,,,,line
#5-1-1,complete,,,,,,line
#5-2-1,complete,,,,,,line
#5-2-10,complete,,,,,,line
#5-2-11,complete,,,,,,line
#5-2-12,complete,,,,,,line
#5-2-2,complete,,,,,,line
#5-2-3,complete,,,,,,line
#5-2-4,complete,,,,,,line
#5-2-5,complete,,,,,,line
#5-2-6,complete,,,,,,line
#5-2-7,complete,,,,,,line
#5-2-8,complete,,,,,,line
#5-2-9,complete,,,,,,line
#5-3-1,complete,,,,,,line
#5-4-1,complete,,,,,,line
#5-4-2,complete,,,,,,line
#5-4-3,complete,,,,,,line
#5-5-1,complete,,,,,,line
#5-6-1,complete,,,,,,line
#5-6-2,complete,,,,,,line
#6-1-1,complete,,,,,,line
#6-1-2,complete,,,,,,line
#6-1-3,complete,,,,,,line
#6-1-4,complete,,,,,,line
#6-1-5,complete,,,,,,line
#6-2-1,complete,,,,,,line
#6-2-2,complete,,,,,,line
#6-3-1,complete,,,,,,line
#6-3-2,complete,,,,,,line
#6-4-1,complete,,,,,,line
#6-4-2,complete,,,,,,line
#6-5-1,complete,,,,,,line
#7-1-1,complete,,,,,,line
#7-1-2,complete,,,,,,line
#7-1-3,complete,,,,,,line
#7-2-1,complete,,,,,,line
#7-2-2,complete,,,,,,line
#7-3-1,complete,,,,,,line
#7-4-1,complete,,,,,,line
#8-1-1,complete,,,,,,line
#8-1-2,complete,,,,,,line
#8-1-3,complete,,,,,,line
#8-1-4,complete,,,,,,line
#8-2-1,complete,,,,,,line
#8-2-2,complete,,,,,,line
#8-3-1,complete,,,,,,line
#8-4-1,complete,,,,,,line
#8-5-1,complete,,,,,,line
#8-5-2,complete,,,,,,line
#8-5-3,complete,,,,,,line
#8-6-1,complete,,,,,,line
#8-6-2,complete,,,,,,line
#8-6-3,complete,,,,,,line
#9-1-1,complete,,,,,,line
#9-1-2,complete,,,,,,line
#9-1-3,complete,,,,,,line
#9-1-4,complete,,,,,,line
#9-2-1,complete,,,,,,line
#9-3-1,complete,,,,,,line
#9-3-2,complete,,,,,,line
#9-4-1,complete,,,,,,line
#9-4-2,complete,,,,,,line
#9-4-3,complete,,,,,,line
#9-5-1,complete,,,,,,line
#9-5-2,complete,,,,,,line
#9-6-1,complete,,,,,,line
#9-7-1,complete,,,,,,line
