Year,Область,Вік,Value
2015,,,27.3
2016,,,25.3
2017,,,22.4
2018,,,19.7
2019,,,16.9
2020,,,15.8
2021,,,13.8
2022,,,
2023,,,
2015,Вінницька,,29.7
2016,Вінницька,,27.0
2017,Вінницька,,23.8
2018,Вінницька,,22.6
2019,Вінницька,,18.2
2020,Вінницька,,17.9
2021,Вінницька,,13.6
2022,Вінницька,,
2023,Вінницька,,
2015,Волинська,,27.1
2016,Волинська,,25.1
2017,Волинська,,21.0
2018,Волинська,,18.3
2019,Волинська,,16.7
2020,Волинська,,16.5
2021,Волинська,,14.6
2022,Волинська,,
2023,Волинська,,
2015,Дніпропетровська,,27.3
2016,Дніпропетровська,,24.6
2017,Дніпропетровська,,21.4
2018,Дніпропетровська,,18.7
2019,Дніпропетровська,,15.6
2020,Дніпропетровська,,15.3
2021,Дніпропетровська,,13.1
2022,Дніпропетровська,,
2023,Дніпропетровська,,
2015,Донецька,,
2016,Донецька,,
2017,Донецька,,
2018,Донецька,,
2019,Донецька,,
2020,Донецька,,
2021,Донецька,,
2022,Донецька,,
2023,Донецька,,
2015,Житомирська,,33.6
2016,Житомирська,,31.1
2017,Житомирська,,27.7
2018,Житомирська,,25.3
2019,Житомирська,,22.5
2020,Житомирська,,21.3
2021,Житомирська,,17.3
2022,Житомирська,,
2023,Житомирська,,
2015,Закарпатська,,52.8
2016,Закарпатська,,49.4
2017,Закарпатська,,46.0
2018,Закарпатська,,45.3
2019,Закарпатська,,40.5
2020,Закарпатська,,39.8
2021,Закарпатська,,39.6
2022,Закарпатська,,
2023,Закарпатська,,
2015,Запорізька,,26.4
2016,Запорізька,,23.9
2017,Запорізька,,20.1
2018,Запорізька,,18.6
2019,Запорізька,,16.4
2020,Запорізька,,13.6
2021,Запорізька,,12.8
2022,Запорізька,,
2023,Запорізька,,
2015,Івано-Франківська,,30.1
2016,Івано-Франківська,,26.8
2017,Івано-Франківська,,20.9
2018,Івано-Франківська,,19.4
2019,Івано-Франківська,,17.9
2020,Івано-Франківська,,15.0
2021,Івано-Франківська,,12.7
