Year,Група,Область,Стать,Value
2015,,,,37.0
2016,,,,37.0
2017,,,,40.6
2018,,,,40.8
2019,,,,42.6
2020,,,,41.1
2021,,,,40.6
2022,,,,29.8
2023,,,,28.4
2015,,Вінницька,,18.9
2016,,Вінницька,,14.5
2017,,Вінницька,,16.4
2018,,Вінницька,,18.0
2019,,Вінницька,,19.3
2020,,Вінницька,,14.0
2021,,Вінницька,,11.2
2022,,Вінницька,,14.3
2023,,Вінницька,,16.1
2015,,Волинська,,26.6
2016,,Волинська,,20.5
2017,,Волинська,,22.5
2018,,Волинська,,21.6
2019,,Волинська,,15.1
2020,,Волинська,,13.5
2021,,Волинська,,11.3
2022,,Волинська,,9.7
2023,,Волинська,,16.5
2015,,Дніпропетровська,,88.2
2016,,Дніпропетровська,,83.2
2017,,Дніпропетровська,,98.3
2018,,Дніпропетровська,,94.9
2019,,Дніпропетровська,,113.2
2020,,Дніпропетровська,,113.3
2021,,Дніпропетровська,,107.5
2022,,Дніпропетровська,,88.4
2023,,Дніпропетровська,,88.6
2015,,Донецька,,23.9
2016,,Донецька,,58.8
2017,,Донецька,,63.7
2018,,Донецька,,73.0
2019,,Донецька,,78.9
2020,,Донецька,,64.8
2021,,Донецька,,56.2
2022,,Донецька,,7.9
2023,,Донецька,,7.8
2015,,Житомирська,,36.9
2016,,Житомирська,,29.1
2017,,Житомирська,,30.4
2018,,Житомирська,,32.7
2019,,Житомирська,,31.5
2020,,Житомирська,,22.6
2021,,Житомирська,,20.4
2022,,Житомирська,,21.4
2023,,Житомирська,,29.3
2015,,Закарпатська,,5.6
2016,,Закарпатська,,6.7
2017,,Закарпатська,,8.1
2018,,Закарпатська,,9.4
2019,,Закарпатська,,7.4
2020,,Закарпатська,,6.8
2021,,Закарпатська,,6.5
2022,,Закарпатська,,6.0
2023,,Закарпатська,,8.9
2015,,Запорізька,,32.6
2016,,Запорізька,,35.3
2017,,Запорізька,,32.8
2018,,Запорізька,,35.2
2019,,Запорізька,,31.9
2020,,Запорізька,,26.8
2021,,Запорізька,,25.6
2022,,Запорізька,,20.4
2023,,Запорізька,,19.4
2015,,Івано-Франківська,,13.0
2016,,Івано-Франківська,,10.4
2017,,Івано-Франківська,,10.7
2018,,Івано-Франківська,,10.7
2019,,Івано-Франківська,,9.5
2020,,Івано-Франківська,,4.8
2021,,Івано-Франківська,,6.6
2022,,Івано-Франківська,,8.5
2023,,Івано-Франківська,,9.7
2015,,Київська,,56.2
2016,,Київська,,52.7
2017,,Київська,,49.4
2018,,Київська,,47.2
2019,,Київська,,44.3
2020,,Київська,,44.4
2021,,Київська,,47.4
2022,,Київська,,41.1
2023,,Київська,,42.0
2015,,Кіровоградська,,53.1
2016,,Кіровоградська,,35.7
2017,,Кіровоградська,,51.1
2018,,Кіровоградська,,43.1
2019,,Кіровоградська,,61.5
2020,,Кіровоградська,,43.6
2021,,Кіровоградська,,37.3
2022,,Кіровоградська,,35.1
2023,,Кіровоградська,,37.2
2015,,Луганська,,8.3
2016,,Луганська,,29.3
2017,,Луганська,,29.1
2018,,Луганська,,26.1
2019,,Луганська,,26.9
2020,,Луганська,,18.2
2021,,Луганська,,20.4
2022,,Луганська,,0.5
2023,,Луганська,,0.0
2015,,Львівська,,17.9
2016,,Львівська,,16.5
2017,,Львівська,,15.6
2018,,Львівська,,18.0
2019,,Львівська,,16.3
2020,,Львівська,,10.4
2021,,Львівська,,13.2
2022,,Львівська,,14.6
2023,,Львівська,,21.2
2015,,Миколаївська,,74.3
2016,,Миколаївська,,76.7
2017,,Миколаївська,,67.4
2018,,Миколаївська,,63.8
2019,,Миколаївська,,59.4
2020,,Миколаївська,,50.8
2021,,Миколаївська,,45.0
2022,,Миколаївська,,33.7
2023,,Миколаївська,,42.1
2015,,Одеська,,99.5
2016,,Одеська,,74.4
2017,,Одеська,,98.3
2018,,Одеська,,94.5
2019,,Одеська,,97.9
2020,,Одеська,,150.9
2021,,Одеська,,178.3
2022,,Одеська,,153.9
2023,,Одеська,,78.3
2015,,Полтавська,,31.1
2016,,Полтавська,,23.6
2017,,Полтавська,,21.9
2018,,Полтавська,,24.8
2019,,Полтавська,,26.1
2020,,Полтавська,,17.3
2021,,Полтавська,,16.4
2022,,Полтавська,,19.0
2023,,Полтавська,,20.4
2015,,Рівненська,,21.4
2016,,Рівненська,,17.1
2017,,Рівненська,,14.3
2018,,Рівненська,,18.4
2019,,Рівненська,,13.6
2020,,Рівненська,,11.3
2021,,Рівненська,,13.0
2022,,Рівненська,,12.7
2023,,Рівненська,,16.1
2015,,Сумська,,20.0
2016,,Сумська,,15.0
2017,,Сумська,,16.8
2018,,Сумська,,18.5
2019,,Сумська,,15.4
2020,,Сумська,,11.8
2021,,Сумська,,11.7
2022,,Сумська,,13.8
2023,,Сумська,,17.6
2015,,Тернопільська,,10.9
2016,,Тернопільська,,10.9
2017,,Тернопільська,,7.6
2018,,Тернопільська,,6.6
2019,,Тернопільська,,8.3
2020,,Тернопільська,,7.5
2021,,Тернопільська,,6.1
2022,,Тернопільська,,7.7
2023,,Тернопільська,,8.5
2015,,Харківська,,19.3
2016,,Харківська,,19.5
2017,,Харківська,,21.5
2018,,Харківська,,21.1
2019,,Харківська,,22.3
2020,,Харківська,,24.5
2021,,Харківська,,21.9
2022,,Харківська,,12.5
2023,,Харківська,,22.8
2015,,Херсонська,,48.9
2016,,Херсонська,,45.6
2017,,Херсонська,,52.1
2018,,Херсонська,,40.5
2019,,Херсонська,,55.3
2020,,Херсонська,,46.3
2021,,Херсонська,,40.2
2022,,Херсонська,,15.1
2023,,Херсонська,,7.8
2015,,Хмельницька,,14.9
2016,,Хмельницька,,12.5
2017,,Хмельницька,,14.8
2018,,Хмельницька,,17.9
2019,,Хмельницька,,16.7
2020,,Хмельницька,,12.3
2021,,Хмельницька,,10.9
2022,,Хмельницька,,11.1
2023,,Хмельницька,,15.6
2015,,Черкаська,,43.4
2016,,Черкаська,,39.6
2017,,Черкаська,,34.1
2018,,Черкаська,,36.5
2019,,Черкаська,,39.5
2020,,Черкаська,,25.9
2021,,Черкаська,,20.2
2022,,Черкаська,,22.1
2023,,Черкаська,,23.8
2015,,Чернівецька,,10.8
2016,,Чернівецька,,8.1
2017,,Чернівецька,,8.2
2018,,Чернівецька,,9.0
2019,,Чернівецька,,9.2
2020,,Чернівецька,,5.8
2021,,Чернівецька,,6.8
2022,,Чернівецька,,7.3
2023,,Чернівецька,,10.4
2015,,Чернігівська,,47.4
2016,,Чернігівська,,37.0
2017,,Чернігівська,,44.5
2018,,Чернігівська,,42.2
2019,,Чернігівська,,44.2
2020,,Чернігівська,,40.2
2021,,Чернігівська,,35.2
2022,,Чернігівська,,28.4
2023,,Чернігівська,,38.6
2015,,місто Київ,,45.2
2016,,місто Київ,,47.9
2017,,місто Київ,,53.2
2018,,місто Київ,,56.7
2019,,місто Київ,,51.4
2020,,місто Київ,,42.9
2021,,місто Київ,,37.8
2022,,місто Київ,,29.5
2023,,місто Київ,,36.8
2015,,,жінки,23.8
2016,,,жінки,25.8
2017,,,жінки,30.7
2018,,,жінки,29.9
2019,,,жінки,33.4
2020,,,жінки,28.2
2021,,,жінки,27.3
2022,,,жінки,18.7
2023,,,жінки,18.6
2015,,,чоловіки,38.0
2016,,,чоловіки,42.8
2017,,,чоловіки,52.3
2018,,,чоловіки,53.7
2019,,,чоловіки,60.2
2020,,,чоловіки,56.2
2021,,,чоловіки,55.9
2022,,,чоловіки,42.6
2023,,,чоловіки,39.8
